Origin State,Type,Dest State,Year,Measure Names,Measure Values
Arizona,Domestic,Maryland,2022,Current Value (millions of dollars),836.131243
Arizona,Domestic,Maine,2022,Current Value (millions of dollars),119.571069
Arizona,Domestic,Louisiana,2022,Current Value (millions of dollars),631.025155
Arizona,Domestic,Kentucky,2022,Current Value (millions of dollars),477.045963
Arizona,Domestic,Kansas,2022,Current Value (millions of dollars),708.970177
Arizona,Domestic,Iowa,2022,Current Value (millions of dollars),480.776422
Arizona,Domestic,Indiana,2022,Current Value (millions of dollars),1909.421766
Arizona,Domestic,Illinois,2022,Current Value (millions of dollars),2055.190277
Arizona,Domestic,Idaho,2022,Current Value (millions of dollars),526.506176
Arizona,Domestic,Hawaii,2022,Current Value (millions of dollars),392.072387
Arizona,Domestic,Georgia,2022,Current Value (millions of dollars),3504.134958
Arizona,Domestic,Florida,2022,Current Value (millions of dollars),3227.007396
Arizona,Domestic,District of Columbia,2022,Current Value (millions of dollars),28.829396
Arizona,Domestic,Delaware,2022,Current Value (millions of dollars),94.247819
Arizona,Domestic,Connecticut,2022,Current Value (millions of dollars),838.529468
Arizona,Domestic,Colorado,2022,Current Value (millions of dollars),2619.645182
Arizona,Domestic,California,2022,Current Value (millions of dollars),32299.055054
Arizona,Domestic,Arkansas,2022,Current Value (millions of dollars),244.007644
Arizona,Domestic,Arizona,2022,Current Value (millions of dollars),137570.320131
Arizona,Domestic,Alaska,2022,Current Value (millions of dollars),188.853098
Arizona,Domestic,Alabama,2022,Current Value (millions of dollars),1079.62291
Arizona,Export,Wisconsin,2022,Current Value (millions of dollars),0
Arizona,Export,Washington,2022,Current Value (millions of dollars),305.249795
Arizona,Export,Virginia,2022,Current Value (millions of dollars),61.453716
Arizona,Export,Vermont,2022,Current Value (millions of dollars),1.280109
Arizona,Export,Utah,2022,Current Value (millions of dollars),0.803724
Arizona,Export,Texas,2022,Current Value (millions of dollars),1973.545525
Arizona,Export,Tennessee,2022,Current Value (millions of dollars),2018.321033
Arizona,Export,South Dakota,2022,Current Value (millions of dollars),29.368186
Arizona,Export,South Carolina,2022,Current Value (millions of dollars),32.809976
Arizona,Export,Rhode Island,2022,Current Value (millions of dollars),0.24463
Arizona,Export,Pennsylvania,2022,Current Value (millions of dollars),89.59811
Arizona,Export,Oregon,2022,Current Value (millions of dollars),0.3655
Arizona,Export,Oklahoma,2022,Current Value (millions of dollars),0
Arizona,Export,Ohio,2022,Current Value (millions of dollars),7.21476
Arizona,Export,North Dakota,2022,Current Value (millions of dollars),57.686496
Arizona,Export,North Carolina,2022,Current Value (millions of dollars),91.087735
Arizona,Export,New York,2022,Current Value (millions of dollars),702.614074
Arizona,Export,New Mexico,2022,Current Value (millions of dollars),13.34551
Arizona,Export,New Jersey,2022,Current Value (millions of dollars),251.358245
Arizona,Export,New Hampshire,2022,Current Value (millions of dollars),195.199811
Arizona,Export,Nevada,2022,Current Value (millions of dollars),17.06474
Arizona,Export,Montana,2022,Current Value (millions of dollars),240.598105
Arizona,Export,Missouri,2022,Current Value (millions of dollars),0.366549
Arizona,Export,Mississippi,2022,Current Value (millions of dollars),0.007521
Arizona,Export,Minnesota,2022,Current Value (millions of dollars),9.674818
Arizona,Export,Michigan,2022,Current Value (millions of dollars),906.630406
Arizona,Export,Massachusetts,2022,Current Value (millions of dollars),15.057001
Arizona,Export,Maryland,2022,Current Value (millions of dollars),15.668867
Arizona,Export,Maine,2022,Current Value (millions of dollars),290.023994
Arizona,Export,Louisiana,2022,Current Value (millions of dollars),20.918739
Arizona,Export,Kentucky,2022,Current Value (millions of dollars),1449.491805
Arizona,Export,Kansas,2022,Current Value (millions of dollars),0.222632
Arizona,Export,Indiana,2022,Current Value (millions of dollars),0.042532
Arizona,Export,Illinois,2022,Current Value (millions of dollars),115.269025
Arizona,Export,Idaho,2022,Current Value (millions of dollars),0
Arizona,Export,Hawaii,2022,Current Value (millions of dollars),93.790469
Arizona,Export,Georgia,2022,Current Value (millions of dollars),122.40507
Arizona,Export,Florida,2022,Current Value (millions of dollars),669.312853
Arizona,Export,District of Columbia,2022,Current Value (millions of dollars),30.669582
Arizona,Export,Delaware,2022,Current Value (millions of dollars),164.889097
Arizona,Export,Connecticut,2022,Current Value (millions of dollars),0.055244
Arizona,Export,Colorado,2022,Current Value (millions of dollars),3.976802
Arizona,Export,California,2022,Current Value (millions of dollars),9394.409921
Arizona,Export,Arkansas,2022,Current Value (millions of dollars),0
Arizona,Export,Arizona,2022,Current Value (millions of dollars),7047.165643
Arizona,Export,Alaska,2022,Current Value (millions of dollars),838.335831
Arizona,Export,Alabama,2022,Current Value (millions of dollars),14.855429
Arizona,Import,Wyoming,2022,Current Value (millions of dollars),0.284076
Arizona,Import,Wisconsin,2022,Current Value (millions of dollars),273.526386
Arizona,Import,West Virginia,2022,Current Value (millions of dollars),0
Arizona,Import,Washington,2022,Current Value (millions of dollars),73.3459
Arizona,Import,Virginia,2022,Current Value (millions of dollars),143.168123
Arizona,Import,Vermont,2022,Current Value (millions of dollars),8.601996
Arizona,Import,Utah,2022,Current Value (millions of dollars),163.395463
